I, [2020-03-17T17:11:39.760987 #9745]  INFO -- : (0.000124s) SELECT sqlite_version()
I, [2020-03-17T17:11:39.831819 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831851 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831870 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831885 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831898 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831933 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831950 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831963 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831977 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.831990 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.832003 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.832023 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.832039 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.832053 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.832068 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date returns an empty array as JSON
I, [2020-03-17T17:11:39.832375 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832417 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832437 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832453 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832467 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832482 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832496 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832511 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832525 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832539 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832553 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832567 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832581 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832615 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832634 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.832651 #9745]  INFO -- : Starting example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833367 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833402 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833421 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833437 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833452 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833467 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833482 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833497 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833512 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833526 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833541 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833556 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833570 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833585 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833599 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833614 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833629 #9745]  INFO -- : Edning example: ExpenseTracker::API GET /expenses/:date when there are no expenses on the given date responds with a 200 (OK)
I, [2020-03-17T17:11:39.833998 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834025 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834042 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834056 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834087 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834103 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834117 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834130 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834143 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834156 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834170 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834184 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834204 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834226 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834241 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834254 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834266 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.834279 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.838835 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.838874 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.838893 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.838908 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.838922 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.838936 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.838990 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839008 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839022 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839035 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839049 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839080 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839096 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839110 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839123 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839136 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839148 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839161 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839174 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded return the expense id
I, [2020-03-17T17:11:39.839387 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839413 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839429 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839442 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839456 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839468 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839481 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839494 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839507 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839520 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839532 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839545 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839558 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839570 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839583 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839595 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839629 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839644 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839657 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.839669 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840375 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840405 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840422 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840436 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840454 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840468 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840481 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840494 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840506 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840519 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840531 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840544 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840556 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840569 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840585 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840598 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840610 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840623 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840635 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840648 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840660 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense is successfully recorded responds with a 200 (OK)
I, [2020-03-17T17:11:39.840936 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.840963 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.840981 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.840997 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841021 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841034 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841048 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841096 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841111 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841125 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841144 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841163 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841177 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841191 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841204 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841218 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841231 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841245 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841258 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841342 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841401 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.841438 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842305 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842358 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842379 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842395 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842410 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842424 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842438 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842452 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842466 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842480 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842494 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842516 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842529 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842542 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842555 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842568 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842581 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842594 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842607 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842620 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842633 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842646 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842659 #9745]  INFO -- : Edning example: ExpenseTracker::API POST /expenses when the expense fails validateion responds with a 422 (Unprocessable entity)
I, [2020-03-17T17:11:39.842892 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.842935 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.842954 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.842991 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843007 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843020 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843034 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843047 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843060 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843072 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843088 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843102 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843115 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843128 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843141 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843153 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843166 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
I, [2020-03-17T17:11:39.843178 #9745]  INFO -- : Starting example: ExpenseTracker::API POST /expenses when the expense fails validateion return an error message
